step	loss
0	"56
"
1	"34
"
2	"28
"
3	"68
"
4	"94
"
5	"91
"
6	"20
"
7	"57
"
8	"54
"
9	"71
"
10	"77
"
11	"58
"
12	"4
"
13	"74
"
14	"6
"
15	"76
"
16	"79
"
17	"92
"
18	"93
"
19	"8
"
20	"85
"
21	"10
"
22	"48
"
23	"71
"
24	"96
"
25	"43
"
26	"85
"
27	"100
"
28	"91
"
29	"74
"
30	"33
"
31	"79
"
32	"10
"
33	"89
"
34	"59
"
35	"85
"
36	"98
"
37	"39
"
38	"10
"
39	"22
"
40	"27
"
41	"27
"
42	"64
"
43	"3
"
44	"64
"
45	"16
"
46	"87
"
47	"88
"
48	"52
"
49	"61
"
50	"45
"
51	"77
"
52	"50
"
53	"25
"
54	"19
"
55	"0
"
56	"28
"
57	"67
"
58	"92
"
59	"90
"
60	"10
"
61	"84
"
62	"19
"
63	"87
"
64	"60
"
65	"38
"
66	"94
"
67	"45
"
68	"62
"
69	"77
"
70	"97
"
71	"46
"
72	"96
"
73	"25
"
74	"3
"
75	"57
"
76	"69
"
77	"80
"
78	"51
"
79	"34
"
80	"80
"
81	"40
"
82	"74
"
83	"33
"
84	"5
"
85	"97
"
86	"81
"
87	"79
"
88	"29
"
89	"23
"
90	"67
"
91	"58
"
92	"6
"
93	"81
"
94	"47
"
95	"32
"
96	"52
"
97	"88
"
98	"49
"
99	14
